"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
651.0,510322.8419085024,338714.9708016206
652.0,510321.6377593698,338716.58771491837
653.0,510320.445983212,338718.1794589706
654.0,510319.2673105988,338719.74607338733
655.0,510318.1016456466,338721.287730265
656.0,510316.9492665446,338722.80464497686
657.0,510315.81032644986,338724.29716665647
658.0,510314.6848706551,338725.7657600598
659.0,510313.57293605513,338727.2109064746
660.0,510312.4745091583,338728.63309857214
661.0,510311.38949714205,338730.03286094306
662.0,510310.31774173863,338731.41070384
663.0,510309.2590150705,338732.7670967275
664.0,510308.2130390843,338734.1024576162
665.0,510307.1794854266,338735.4171878557
666.0,510306.1579777518,338736.7116239696
667.0,510305.14811435726,338737.98607432673
668.0,510304.1494930863,338739.2407905381
669.0,510303.16168286663,338740.47599936475
670.0,510302.1842678098,338741.6918973667
671.0,510301.2168329017,338742.88866888575
672.0,510300.2588547957,338744.0664648796
673.0,510299.30958324444,338745.2254338374
674.0,510298.36888115713,338746.3657021754
675.0,510297.43682219175,338747.48741433205
676.0,510296.5135251868,338748.5909750593
677.0,510295.5984890259,338749.676338179
678.0,510294.691526598,338750.7436733906
679.0,510293.79242600134,338751.79316766676
680.0,510292.90112580365,338752.8252603655
